Title,Date
"Ozark: Temporada 1: O livro de Ruth","09/06/2019"
"Black Mirror: Temporada 5: Rachel, Jack e Ashley Too","09/06/2019"
"Ozark: Temporada 1: Dias decisivos","09/06/2019"
"Ozark: Temporada 1: Lição de lavagem","08/06/2019"
"Ozark: Temporada 1: Insônia","08/06/2019"
"Ozark: Temporada 1: Blue Cat","08/06/2019"
"Ozark: Temporada 1: Doce como mel","08/06/2019"
"Black Mirror: Temporada 5: Smithereens","08/06/2019"
"Black Mirror: Temporada 5: Striking Vipers","08/06/2019"
"Black Summer: Temporada 1: Escola de verão","08/06/2019"
"Black Summer: Temporada 1: Impulso","07/06/2019"
"Fim do Mundo","31/05/2019"
"Loja de Unicórnios","22/05/2019"
"After Life - Vocês vão ter de me engolir: Temporada 1: Episódio 6","21/05/2019"
"After Life - Vocês vão ter de me engolir: Temporada 1: Episódio 5","21/05/2019"
"After Life - Vocês vão ter de me engolir: Temporada 1: Episódio 4","21/05/2019"
"After Life - Vocês vão ter de me engolir: Temporada 1: Episódio 3","21/05/2019"
"After Life - Vocês vão ter de me engolir: Temporada 1: Episódio 2","21/05/2019"
"After Life - Vocês vão ter de me engolir: Temporada 1: Episódio 1","21/05/2019"
"Invocação do Mal 2","21/05/2019"
"The OA: Parte 2: Capítulo 8: Visão geral","20/05/2019"
"The OA: Parte 2: Capítulo 7: Nina Azarova","20/05/2019"
"Take Your Pills","18/05/2019"
"The OA: Parte 2: Capítulo 6: Espelho, espelho meu","18/05/2019"
"The OA: Parte 2: Capítulo 5: A médium e o engenheiro","18/05/2019"
"The OA: Parte 2: Capítulo 4: SYZYGY","17/05/2019"
"The OA: Parte 2: Capítulo 3: Espelho mágico","17/05/2019"
"The OA: Parte 2: Capítulo 2: Ilha do tesouro","17/05/2019"
"The OA: Parte 2: Capítulo 1: Anjo da Morte","17/05/2019"
"The OA: Parte 1: Capítulo 8: O eu invisível","16/05/2019"
"The OA: Parte 1: Capítulo 7: Império da Luz","16/05/2019"
"The OA: Parte 1: Capítulo 6: Bifurcações","16/05/2019"
"The OA: Parte 1: Capítulo 5: Paraíso","16/05/2019"
"The OA: Parte 1: Capítulo 4: Fuga","16/05/2019"
"The OA: Parte 1: Capítulo 3: Campeão","16/05/2019"
